id,category,sno,title,date,pdf_link,filename,scraped_time
06859db4808286c9,public_notices,1,"Doxycycline related CNS Side Effects (Restlessness, Anxiety, Irritability, Nervousness, and Dizziness) - Recommendations for the change in Prescribing Information Leaflets (PILs)",2026-Feb-17,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4Njg=,Doxycycline_related_CNS_Side_Effects_Restlessness_Anxiety,2026-02-19T06:18:51.272394
3360538d767544a8,public_notices,2,Carbimazole related agranulocytosis - Recommendations for the change in Prescribing Information Leaflets (PILs),2026-Feb-17,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4NzA=,Carbimazole_related_agranulocytosis_Recommendations_for_the_change,2026-02-19T06:18:51.272394
02f496e2cdb2e69a,public_notices,3,Draft Guidance document for Import of In-vitro diagnostic Medical device for stakeholders comment (dated 30.01.2026),2026-Feb-02,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4NDE=,Draft_Guidance_document_for_Import_of_Invitro,2026-02-19T06:18:51.272394
96a6ab4cf59dd604,public_notices,4,"Cancellation of products underRC/COS-001655, for import of Cosmetics under Cosmetics Rules, 2020",2026-Jan-27,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4MzM=,Cancellation_of_products_underRCCOS001655_for_import_of,2026-02-19T06:18:51.272394
54467e88c6fb2835,public_notices,5,CDSCO updated list of Laboratories for conducting Performance Evaluation of In-Vitro Diagnostic Medical Device,2026-Jan-19,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4MjA=,CDSCO_updated_list_of_Laboratories_for_conducting,2026-02-19T06:18:51.272394
29c760dea618e94e,public_notices,6,Disposal/Rejection of Long-Pending Applications on Sugam Portal Awaiting Query Response,2026-Jan-16,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM4MTc=,DisposalRejection_of_LongPending_Applications_on_Sugam_Portal,2026-02-19T06:18:51.272394
8dd07429383bdbb1,public_notices,7,Risk classification list of medical devices pertaining to Oncology,2026-Jan-02,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM3NTI=,Risk_classification_list_of_medical_devices_pertaining,2026-02-19T06:18:51.272394
6aedc84baea76cc3,public_notices,8,"SoP - Compounding of Offences Rules, 2025",2026-Jan-01,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM3NjI=,SoP_Compounding_of_Offences_Rules_2025,2026-02-19T06:18:51.272394
fb4f1273f0110635,public_notices,9,"Guidelines on Compounding of Offences under the Drugs and Cosmetics Act, 1940 as per Drugs and Cosmetics (Compounding of Offences) Rules, 2025",2026-Jan-01,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM3NjE=,Guidelines_on_Compounding_of_Offences_under_the,2026-02-19T06:18:51.272394
d2a977b9a924b8b2,public_notices,10,"FAQs on Drugs and Cosmetics (Compounding of Offences) Rules, 2025",2026-Jan-01,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTM3NTk=,FAQs_on_Drugs_and_Cosmetics_Compounding_of,2026-02-19T06:18:51.272394
