id,date,title,pdf_link,detail_page_link,pdf_filename,wing_category,file_info,category,created_at
7d4b77d08ea6741cb2cdbd4d6763fb27d39777a3,10-03-2023,Audio visual Co-production Agreement between the Government of the Republic of India and Government of Australia,https://mib.gov.in/sites/default/files/2024-12/australia.pdf,,2023-03-10_audio-visual-co-production-agreement-between-the-government-of-the-republic-of-i.pdf,Film Wing,5.78 MB,other_communication,2025-12-15T08:22:32.985635+00:00
0439e4a39cba95038fd11d8030b25813e71e6dd2,23-01-2023,Skill development program for the youth of North-Eastern state in the field of 3D Animation and visual effects.,,,,Film Wing,,other_communication,2025-12-15T08:22:32.985699+00:00
0c4a8d3b7738271e4d02f2105e84e512a645244e,14-06-2022,Approved Minutes of the First Meeting of the Sub Task Force on Industry & Policy held on 14th June 2022,https://mib.gov.in/sites/default/files/2024-12/approved-minutes-of-the-first-meeting-of-the-sub-task-force-on-industry-policy-held-on-14th-june-2022_0001.pdf,,2022-06-14_approved-minutes-of-the-first-meeting-of-the-sub-task-force-on-industry-policy-h.pdf,Film Wing,2.73 MB,other_communication,2025-12-15T08:22:32.985788+00:00
4b656a770a0bb597571bba38554ec43da8e1e6f0,21-01-2026,Amendment of Recruitment Rules (RRs) for teh Post of Clerk Grade-II in Publications Division-reg.,https://mib.gov.in/sites/default/files/2025-12/amendment-of-recruitment-rules.pdf,,2026-01-21_amendment-of-recruitment-rules-rrs-for-teh-post-of-clerk-grade-ii-in-publication.pdf,,4.26 MB,notices,2025-12-22T13:49:24.999071+00:00
0aae43a73ffb8a259f73cd4cc2909e1681fe2960,15-12-2025,Format of self declaration by IPTV service providers,https://mib.gov.in/sites/default/files/2025-12/format-of-self-declaration-by-iptv-service-provider-1.pdf,,2025-12-15_format-of-self-declaration-by-iptv-service-providers.pdf,Guidelines,35.34 KB,acts_policy_guidelines,2025-12-29T13:52:55.138579+00:00
1e4a5ab46ba1514d15091fa5b8b8d2bb5e402b64,15-12-2025,Format of self declaration by IPTV service providers,https://mib.gov.in/sites/default/files/2025-12/format-of-self-declaration-by-iptv-service-provider-1_1.pdf,,2025-12-15_format-of-self-declaration-by-iptv-service-providers.pdf,Guidelines,26.71 KB,acts_policy_guidelines,2025-12-30T13:59:29.837399+00:00
9784690d722e6fb6ff2cddfec105bb892eae0c83,04-02-2026,Meeting on ICH portal with States/UTs under the chairmanship of Secretary(I&B) on 28.01.2026,https://mib.gov.in/sites/default/files/2026-02/meeting-on-ich-poral-28.01.26-2.pdf,,2026-02-04_meeting-on-ich-portal-with-statesuts-under-the-chairmanship-of-secretaryib-on-28.pdf,Film Wing,5.88 MB,other_communication,2026-02-04T13:38:58.353235+00:00
48ed6cf6dcde1b02fe5ac5c7a2a271ee14ee12a3,04-02-2026,Details of operational Pvt FM Radio channels - 01.02.2026,https://mib.gov.in/sites/default/files/2026-02/391_operationalchannels_01022026.pdf,,2026-02-04_details-of-operational-pvt-fm-radio-channels---01022026.pdf,Broadcasting Section,742.05 KB,notices,2026-02-05T04:14:16.524416+00:00
0b3c039ef63178273703b90431c4ce3241822f38,08-02-2026,Guidelines for Accessibility of Content on platforms of Publishers of OnlineCurated Content (OTT Platforms) for Persons with Hearing and Visual Impairment,https://mib.gov.in/sites/default/files/2026-02/finalized-accessibility-guidelines-for-ott-platforms_0.pdf,,2026-02-08_guidelines-for-accessibility-of-content-on-platforms-of-publishers-of-onlinecura.pdf,Guidelines,458 KB,acts_policy_guidelines,2026-02-08T13:24:03.556161+00:00
231dcb83af08362bf3eb4f4260eec1f558e9159a,16-02-2026,"Inviting comments on the proposal to discontinue the Priority Scheme for film certification under the Cinematograph (Certification) Rules, 2024",https://mib.gov.in/sites/default/files/2026-02/general-public-comments-on-the-proposal-to-discontinue-the-priority-scheme-for-film-certification-under-the-cinematograph-certification-rules-2024-notice-dated-16-02-2026.pdf,,2026-02-16_inviting-comments-on-the-proposal-to-discontinue-the-priority-scheme-for-film-ce.pdf,Film Wing,610.26 KB,notices,2026-02-16T13:42:54.082434+00:00

f92a4ab1f53c086d41da7a6a6e055b855aae635d,30-12-2025,"Sports Broadcasting Signals (Mandatory Sharing with Prasar Bharati) Act, 2007",https://mib.gov.in/sites/default/files/2025-12/sports_1-1_1.pdf,,2025-12-30_sports-broadcasting-signals-mandatory-sharing-with-prasar-bharati-act-2007.pdf,Policy,187.04 KB,acts_policy_guidelines,2026-02-27T07:04:20.767538+00:00
73df70af56e5132ef606b9c4495e27a43d272be8,30-12-2025,"Sports Broadcasting Signals (Mandatory Sharing with Prasar Bharati) Act, 2007",https://mib.gov.in/sites/default/files/2025-12/act-1_0.pdf,,2025-12-30_sports-broadcasting-signals-mandatory-sharing-with-prasar-bharati-act-2007.pdf,Acts,278 KB,acts_policy_guidelines,2026-02-27T07:04:20.767634+00:00
bce17eb894941fdadb8e1e856636b9ffd08e868c,05-03-2026,"Circulation of Draft Seniority list of Senior Grade of IIS Gr. B officers in compliance of Hon'ble CAT, PB's order dated 15.01.2026 in OA No. 2586/2019- reg.",https://mib.gov.in/sites/default/files/2026-03/revised-draft-seniority-list-of-sgb-as-per-courts-direction_0.pdf,,2026-03-05_circulation-of-draft-seniority-list-of-senior-grade-of-iis-gr-b-officers-in-comp.pdf,Indian Information Services,970.01 KB,notices,2026-03-05T13:39:23.125328+00:00
