id,petition_no,pdf_url,scraped_at
0839bd5822b795b7,"APPEAL No. 184 of 2020 & IA No. 1963 of 2024 and IA Nos. 374, 985 and 986 of 2026",https://aptel.gov.in/sites/default/files/2026-05/Judgment%20in%20Appeal%20No.%20184%20of%202020.pdf,2026-05-22T05:34:44.843560
caed3bdcee2f677d,APPEAL NO.23 OF 2018,https://aptel.gov.in/sites/default/files/2026-05/J%20APL%2023%20OF%202018.pdf,2026-05-22T05:34:48.209906
4d7b1835f48218fd,APPEAL NO. 21 OF 2020,https://aptel.gov.in/sites/default/files/2026-05/J%20APL%2021%20of%202020.pdf,2026-05-25T12:43:52.940620
a31590035d21fa5d,IA NO.448 of 2026 IN DFR No.114 OF 2026 IA NO.472 of 2026 IN DFR No.121 OF 2026 IA NO.477 of 2026 IN DFR No.122 OF 2026 IA NO.482 of 2026 IN DFR No.123 OF 2026 IA NO.487 of 2026 IN DFR No.124 OF 2026 IA NO.542 of 2026 IN DFR No.139 OF 2026 IA NO.438 of 2026 IN DFR No.112 OF 2026,https://aptel.gov.in/sites/default/files/2026-05/Order%20on%20IAs-CD%20in%20DFR%20112%20of%202026%20and%20Batch.pdf,2026-05-28T06:32:43.178424
e7dbf0a93dffb955,Review Petition No. 7 of 2026 & Review Petition No. 8 of 2026 & IA No. 1047 of 2026 In Original Petition No. 1 of 2025,https://aptel.gov.in/sites/default/files/2026-05/RP%20Nos.%207%20%26%208%20%20of%202026.pdf,2026-05-28T06:32:46.350453
d1ae040fcb4c11e1,IA No. 899 of 2026 & IA No. 1041 of 2026 in OP No. 1 OF 2025,https://aptel.gov.in/sites/default/files/2026-05/IA%20No.%20899%20of%202026%20%20%26%20I%20A%20%20No.%201041%20of%202026%20in%20O.P.%20No.%2001%20of%202025.pdf,2026-05-28T06:32:48.437725
20a45fccc98b5cfc,APPEAL No. 10 of 2018,https://aptel.gov.in/sites/default/files/2026-05/Judgment%20in%20Appeal%20No.%2010%20of%202018.pdf,2026-05-29T08:51:07.185054
dde86a4c3b895544,APPEAL No. 92 OF 2016 AND APPEAL No. 93 OF 2016,https://aptel.gov.in/sites/default/files/2026-05/May%2026%20FINAL-%20Judgment%20in%20APL%2092%20of%202016%20%26%20batch.pdf,2026-05-29T12:27:04.176208
51b91b293e73d29b,IA NO.997 OF 2025 IN DFR No.231 OF 2025,https://aptel.gov.in/sites/default/files/2026-05/Order%20on%20IA%20997%20of%202025%20in%20DFR%20231%20of%202025.pdf,2026-05-29T12:27:06.440168
ef834eb11c4ee057,APPEAL No. 692 of 2023 & IA No. 1827 of 2023,https://aptel.gov.in/sites/default/files/2026-05/APL%20692%20of%202023.pdf,2026-05-29T12:27:10.362787
